name,date,website,location,run_info
5k Race Day Refrath,26.05.2022,www.5k-raceday.de,"51427  Bergisch Gladbach, Willhelm-Klein-Str 18-20 (Refrath)","[['5 km Männer', '13.15 Uhr', '15,00 - 18,00 Euro'], ['5 km Frauen', '13.45 Uhr', '15,00 - 18,00 Euro']]"
Riesenbecker Sixdays,26.05.2022,www.riesenbecker-sixdays.de,"48477 Hörstel, Sünte-Rendel-Straße 18 (Hallenbad Riesenbeck)","[['28 km', '14.00 Uhr Ibbenbüren', '26.05.2022', 'alle Etappen 150,00 Euro']]"
Johanniterlauf Leuggern,26.05.2022,www.johanniterlauf.ch,"CH 5316 Leuggern, Hauptstraße 23","[['10,6 km', '10.15 Uhr', '25,00 CHF'], ['6,5 km', '10.00 Uhr', '25,00 CHF'], ['1,06 km', '15.00 Uhr', '0,00 CHF'], ['0,53 km', 'ab 13.40 Uhr', '0,00 CHF'], ['0,3 km', 'ab 13.00 Uhr', '0,00 CHF']]"
Recknitztallauf Kavelsdorf,26.05.2022,www.recknitztallauf.de,"18334 Eixen OT Kavelsdorf, Bad Sülzer Straße  (Sportplatz)","[['21,5 km', '10.00 Uhr', '17,00 - 20,00 Euro'], ['10 km', '10.40 Uhr', '12,00 - 15,00 Euro'], ['5 km', '10.40 Uhr', '7,00 - 10,00 Euro'], ['2 km', '10.45 Uhr', '4,00 - 7,00 Euro'], ['1 km', '10.25 Uhr', '0,00 - 2,00 Euro'], ['0,4 km', '10.10 Uhr', '0,00 - 2,00 Euro']]"
Frontrun Köln,26.05.2022,www.frontrunners-cologne.de,"50333 Köln, Junkersdorfer Straße ","[['10 km', '13.00 Uhr', '10,00 - 12,00 Euro'], ['5 km', '13.00 Uhr', '10,00 - 12,00 Euro'], ['5 km Paarlauf', '13.00 Uhr', '10,00 - 12,00 Euro pro Person']]"
Internationaler Volkslauf Hagen-Emst: abgesagt,26.05.2022,www.concordia-hagen.de,"58093 Hagen-Emst,  Karl-Ernst-Osthaus-Straße  (Marktplatz)","[['21,1 km', '10.00 Uhr', '13,00 Euro'], ['10 km', '10.00 Uhr', '13,00 Euro'], ['6 km', '13.00 Uhr', '13,00 Euro'], ['0,8 km', 'ab 14.45 Uhr', '3,00 Euro'], ['0,5 km', 'ab 14.15 Uhr', '3,00 Euro']]"
Schweinelauf Wülfrath,26.05.2022,www.schweinelauf.de,"42489 Wülfrath, Erbacher Berg  (Sportanlage)","[['12,1 km', '11.10 Uhr', '15,00 - 23,00 Euro'], ['5,3 km', '11.00 Uhr', '15,00 - 23,00 Euro']]"
Über-Drüber-Marathon Kirchdorf,26.05.2022,laufgemeinschaft.at,"AT 4560 Kirchdorf, Redtenbacherplatz  (Stadtamt)","[['42,195 km', '11.00 Uhr', '32,00 - 42,00 Euro (Staffel 50,00 - 60,00 Euro)'], ['21,1 km', '11.00 Uhr', '22,00 - 32,00 Euro']]"
Ruhpoldinger Meile,27.05.2022,meile.sv-ruhpolding.de,"83324 Ruhpolding, Hauptstraße 59 (Ortsmitte)","[['7,2 km Bayerische Meile', '19.00 Uhr', '12,00 Euro'], ['1,609 km Rauschberg-Meile', '18.45 Uhr', '7,00 Euro'], ['0,804 km Schülerlauf ½ Meile', 'ab 17.00 Uhr', '4,00 Euro']]"
Abendvolkslauf Wilstedt,27.05.2022,www.abendlauf.de,"27412 Wilstedt, An der Reitbahn ","[['10 km', '21.15 Uhr', '7,00 - 13,00 Euro'], ['5 km', '20.45 Uhr', '7,00 - 13,00 Euro'], ['1 km', '20.15 Uhr', '7,00 - 13,00 Euro']]"
Zirler Marktlauf,28.05.2022,www.skitri.at/marktlauf/ausschreibung/,"AT 6170 Zirl, Bahnhofstraße 4 (Veranstaltungszentrum B4)","[['10 km', '17.00 Uhr', '15,00 Euro'], ['6 km', '17.00 Uhr', '15,00 Euro']]"
Emder Matjeslauf,28.05.2022,www.emder-lg.de,"26721 Emden, Rathausplatz ","[['10 km', '15.45 Uhr', '10,00 - 15,00 Euro'], ['5 km', '17.30 Uhr', '10,00 - 15,00 Euro'], ['2,5 km', '14.30 Uhr', '4,00 Euro'], ['1,5 km', '12.30 Uhr', '4,00 Euro'], ['0,6 km', '12.00 Uhr', '0,00 Euro']]"
Night Marathon Luxembourg,28.05.2022,www.ing-night-marathon.lu,"LU 1027 Luxemburg, Circuit de la Foire International 10 (Luxexpo The Box)","[['42,195 km', '19.00 Uhr', 'ab 58,00 Euro'], ['42,195 km Teamstaffel', '19.00 Uhr', 'ab 129,00 Euro'], ['21,1 km', '19.00 Uhr', 'ab 39,00 Euro'], ['5 km Run for Success', '20.00 Uhr', 'ab 34,00 Euro'], ['4,2 km Mini-Marathon', '19.45 Uhr', '15,00 Euro'], ['1 km Mini Mini-Marathon', '19.40 Uhr', '15,00 Euro']]"
Mützenicher Vennlauf Monschau,28.05.2022,www.vennlauf.de,"52156 Monschau, Eupener Straße 70","[['21,1 km', '17.10 Uhr', '7,00 - 9,00 Euro'], ['10 km', '17.00 Uhr', '7,00 - 9,00 Euro'], ['5 km', '15.20 Uhr', '7,00 - 9,00 Euro'], ['2 km', '15.00 Uhr', '3,00 - 5,00 Euro'], ['1,1 km', 'ab 14.15 Uhr', '3,00 - 5,00 Euro'], ['0,3 km', '14.00 Uhr', '3,00 - 5,00 Euro']]"
Edinburgh Marathon Festival,28.05.2022,www.edinburghmarathon.com,"GB EH8 9AL Edinburgh, Potterow ","[['10 km', '9.00 Uhr', '28.05.2022', '32,00 GBP'], ['5 km', '11.00 Uhr', '28.05.2022', '21,025 GBP'], ['42,195 km', '10.00 Uhr', '29.05.2022', '64,00 GBP'], ['42,195 km Staffel', '10.00 Uhr', '29.05.2022', '133,75 GBP'], ['21,1 km', '8.00 Uhr', '29.05.2022', '39,75 GBP']]"
ChaRUNity Zirndorf,29.05.2022,www.charunity.com,"90513 Zirndorf, Eichenhain 5","[['10 km /unter 60 Min.', '12.00 Uhr', '15,00 Euro'], ['10 km /über 60 Min.', '13.15 Uhr', '15,00 Euro'], ['6,6 km Hobbylauf', '10.30 Uhr', '15,00 Euro'], ['0,8 km Bambinilauf', '10.00 Uhr', '10,00 Euro']]"
Calgary-Marathon,29.05.2022,www.calgarymarathon.com,"CA AB T2H 0L3 Calgary, 1410 Olympic Way SE ","[['50 km', '7.00 Uhr', '150,00 - 190,00 CAD'], ['42,195 km', '7.00 Uhr', '120,00 - 155,00 CAD'], ['21,1 km', '7.00 Uhr', '99,00 - 140,00 CAD'], ['10 km', '7.30 Uhr', '60,00 - 75,00 CAD'], ['5 km', '12.00 Uhr', '45,00 - 65,00 CAD']]"
Stadtlauf Heidenheim,29.05.2022,www.stadtlauf.heidenheim.com,"89522 Heidenheim , Grabenstraße ","[['21,1 km', '9.00 Uhr', '22,00 - 30,00 Euro'], ['10 km', '9.00 Uhr', '17,00 - 25,00 Euro'], ['5 km', '9.25 Uhr', '14,00 - 22,00 Euro'], ['1 km', 'ab 11.00 Uhr', '0,00 Euro'], ['0,85 km', '9.10 Uhr', '0,00 Euro']]"
Dreikönigslauf Schwäbisch Hall,29.05.2022,www.3koenigslauf.de,"74523 Schwäbisch Hall, Am Markt 6","[['10 km', '14.00 Uhr', '10,00 - 19,00 Euro'], ['5 km', '13.03 Uhr', '10,00 - 19,00 Euro'], ['1,7 km', '13.00 Uhr', '3,00 - 7,00 Euro'], ['0,4 km', '12.10 Uhr', '3,00 - 7,00 Euro']]"
Regensburg-Marathon,29.05.2022,www.regensburg-marathon.de,"93049  Regensburg, Messerschmittstraße / Wernerwerkstraße 2 (Parkplatz neben Westbad)","[['42,195 km', '8.30 Uhr', '40,00 - 70,00 Euro'], ['31,65 km', '8.30 Uhr', '38,00 - 65,00 Euro'], ['21,1 km', '8.30 Uhr', '35,00 - 65,00 Euro'], ['10,55 km', '9.00 Uhr', '20,00 - 40,00 Euro']]"
Ingelheimer Halbe Stadtlauf,29.05.2022,www.der-ingelheimer-halbe.de,"55218 Ingelheim, Sebastian-Münster-Platz  ","[['21,1 km', '10.05 Uhr', '27,50 Euro'], ['3 x 7 km Laufen', '10.05 Uhr', '55,00 Euro'], ['Staffel km Radfahren'], ['10 km', '10.00 Uhr', '20,00 Euro'], ['5 km', '8.25 Uhr', '15,00 Euro'], ['2 km Kids-Lauf', '10.15 Uhr', '7,50 Euro'], ['0,6 km Kids-Lauf', '8.35 Uhr', '5,00 Euro']]"
Frankfurter Runde,29.05.2022,frankfurter-runden.de,"60314 Frankfurt am Main, Eckhardtstraße 1 (Weseler Werft)","[['40 km', '8.00 Uhr', '36,00 Euro'], ['30 km', '8.10 Uhr', '36,00 Euro'], ['20 km', '8.20', '36,00 Euro'], ['10 km', '8.30 Uhr', '36,00 Euro']]"
Würzburg-Marathon,29.05.2022,www.wuerzburg-marathon.de,"97070 Würzburg, Pleichertorstraße  (Congress Centrum Würzburg (CCW))","[['42,195 km', '9.00 UIr', '58,00 - 78,00 Euro'], ['42,195 km 6er-Staffel', '9.00 Uhr', '120,00 - 130,00 Euro'], ['21,1 km', '9.00 Uhr', '47,00 - 68,00 Euro'], ['10 km', '12.30 Uhr', '10,00 Euro']]"
Edinburgh Marathon Festival,28.05.2022,www.edinburghmarathon.com,"GB EH8 9AL Edinburgh, Potterow ","[['10 km', '9.00 Uhr', '28.05.2022', '32,00 GBP'], ['5 km', '11.00 Uhr', '28.05.2022', '21,025 GBP'], ['42,195 km', '10.00 Uhr', '29.05.2022', '64,00 GBP'], ['42,195 km Staffel', '10.00 Uhr', '29.05.2022', '133,75 GBP'], ['21,1 km', '8.00 Uhr', '29.05.2022', '39,75 GBP']]"
B2RUN Firmenlauf Dortmund,31.05.2022,www.b2run.de/run/de/de/dortmund/index.html,"44139 Dortmund, An d. Buschmühle 3","[['6,2 km', 'ab 18.00 Uhr', '25,90 - 33,90 Euro']]"
